,Product description accuracy,Manufacturer sustainability,Packaging quality,Additional options,Helpfulness of reviews and ratings,Integrity of packaging,Ease check-out procedure,Relevance of related products,Costumer insurance,Satisfaction
36497,2,5,2,4,2,5,4,5,2,0
36498,1,1,1,1,5,2,3,4,3,0
36502,2,3,4,4,3,3,3,4,4,0
36505,4,4,5,1,3,4,2,3,5,1
36510,1,3,1,1,4,3,3,4,1,0
36512,3,1,1,1,4,4,1,3,1,1
36514,4,4,4,5,4,4,4,4,4,1
36526,2,4,1,3,1,2,5,4,1,0
36531,2,5,3,4,5,5,3,4,3,0
36532,1,1,3,5,2,4,3,5,3,0
36537,1,4,3,3,3,4,3,4,3,0
36548,3,1,1,3,2,4,5,5,1,0
36550,4,3,2,2,5,3,2,3,2,0
36562,1,3,3,3,4,3,1,4,3,0
36565,2,4,1,1,4,3,2,3,1,0
36584,2,2,1,4,5,4,3,4,1,0
36586,1,4,5,2,5,3,1,3,5,0
36587,1,4,4,2,2,1,5,1,4,0
36593,2,3,2,3,5,4,4,4,2,0
36594,3,5,1,4,5,4,5,4,1,1
36604,4,4,4,3,2,5,3,4,4,0
36609,3,3,4,5,2,5,3,5,4,0
36612,4,1,2,4,3,4,5,4,2,0
36619,3,3,3,5,5,1,1,1,3,0
36625,1,3,5,2,4,4,2,3,5,0
36627,2,3,1,3,4,2,4,2,1,0
36629,0,1,3,2,4,4,1,1,3,0
36634,0,5,3,5,3,2,4,4,3,0
36635,4,3,3,5,4,3,3,3,3,0
36639,5,3,2,5,2,4,5,5,2,1
36644,0,5,2,3,4,5,3,5,2,1
36646,4,3,2,5,5,4,4,4,2,1
36650,2,3,4,4,4,3,1,4,4,0
36651,2,4,1,4,1,4,3,3,1,0
36654,2,1,2,2,5,4,4,4,2,0
36670,1,1,2,5,5,4,5,5,2,0
36672,3,3,1,3,4,3,3,2,1,0
36674,2,2,1,2,5,5,2,1,1,0
36680,2,4,5,2,4,4,3,4,5,0
36681,1,4,3,1,1,4,4,4,3,0
36686,0,1,4,4,4,4,5,4,4,1
36707,3,2,5,4,3,5,4,4,5,0
36718,3,4,2,4,5,4,4,3,2,0
36721,4,4,3,4,2,3,3,4,3,0
36731,4,3,4,3,5,4,3,4,4,0
36732,0,2,5,3,1,3,1,5,5,1
36734,3,3,3,3,3,4,5,1,5,0
36735,3,5,4,3,4,5,5,5,4,0
36737,0,4,3,4,3,2,5,4,3,0
36742,0,2,2,5,2,5,4,5,2,1
36743,2,4,1,3,4,4,3,4,1,0
36746,0,4,5,2,2,1,5,4,5,0
36750,4,3,4,1,1,2,5,1,4,0
36751,3,3,1,1,1,5,2,5,1,0
36753,1,3,2,3,5,3,3,3,2,0
36757,2,5,1,5,5,2,1,1,1,0
36763,3,4,1,4,4,5,1,5,1,0
36764,4,1,3,5,5,4,4,5,3,0
36777,0,3,3,5,3,4,3,5,3,1
36783,3,3,2,3,3,3,4,2,2,0
36785,0,3,4,4,3,4,4,4,4,1
36804,3,3,5,1,2,4,4,4,5,0
36805,2,1,3,4,5,3,1,5,3,0
36820,2,3,4,4,3,2,3,3,4,0
36827,2,2,5,1,1,2,3,3,5,0
36832,5,3,1,5,5,2,1,2,1,1
36833,0,3,4,3,4,5,3,5,4,0
36836,4,2,4,5,5,5,5,5,4,1
36841,2,2,1,3,3,3,3,2,1,0
36847,2,2,4,3,3,4,5,4,4,0
36872,0,3,4,3,5,4,3,3,4,0
36873,0,5,3,4,5,2,4,2,3,0
36875,3,3,3,5,4,4,4,4,4,0
36884,1,3,4,2,2,3,4,3,4,0
36908,3,3,1,5,3,4,4,4,1,0
36913,2,3,5,4,3,4,5,4,5,0
36932,1,5,1,3,1,3,4,2,4,0
36936,5,2,5,3,3,3,3,4,5,0
36938,2,3,1,3,3,5,3,5,1,0
36945,4,1,4,5,5,4,5,4,4,1
36948,2,2,3,1,3,3,3,2,3,0
36960,0,2,4,5,5,5,4,4,4,1
36965,1,4,4,3,4,5,4,5,4,0
36975,3,2,5,5,3,5,4,4,5,0
36979,0,3,1,4,4,5,5,5,1,1
36983,1,4,3,4,2,4,5,4,3,0
36988,1,2,3,2,4,2,4,2,3,0
36991,1,2,4,2,3,2,1,2,4,0
36997,1,3,5,4,2,4,4,4,5,0
37002,3,5,3,3,5,5,4,5,3,0
37018,0,4,2,2,2,1,3,3,2,0
37033,2,3,5,4,4,4,3,4,5,0
37034,1,4,2,1,3,4,4,3,2,0
37040,4,3,2,3,1,3,2,3,2,0
37049,4,1,2,3,4,5,4,4,2,1
37064,2,2,4,5,1,1,4,5,4,0
37083,0,1,2,4,1,4,5,2,2,0
37093,4,4,4,5,3,3,4,4,4,0
37095,3,4,3,5,5,5,3,5,3,0
37096,3,4,1,1,5,4,1,2,1,0
37100,3,3,2,3,4,3,4,4,2,0
37109,3,4,3,4,1,1,5,1,3,0
37110,0,3,3,3,3,5,4,4,3,1
37114,3,4,2,3,4,3,4,4,2,0
37119,4,2,3,5,3,3,3,5,3,1
37129,0,1,1,5,4,5,3,5,1,1
37131,1,4,3,2,1,3,4,4,3,0
37134,4,1,5,5,3,5,4,4,5,0
37135,4,3,4,4,3,4,4,5,4,0
37141,2,4,2,4,2,3,1,4,2,0
37148,3,1,5,4,4,4,5,4,5,0
37149,2,5,5,2,5,3,5,3,5,0
37160,4,1,4,3,5,4,1,3,1,0
37166,5,3,5,4,3,4,5,4,5,0
37168,1,3,2,4,3,3,1,4,2,0
37178,3,4,5,5,4,4,1,4,5,0
37188,2,4,3,4,2,3,1,4,3,0
37190,3,2,5,1,1,1,4,5,5,0
37195,3,3,5,1,1,3,3,3,5,0
37202,4,4,2,4,1,4,3,3,2,0
37208,4,3,3,3,5,5,4,5,3,1
37215,4,3,3,4,2,4,4,4,3,0
37216,4,1,5,5,2,4,5,4,5,1
37219,2,1,4,5,3,4,3,4,4,0
37225,1,4,2,5,2,5,5,4,2,0
37227,0,3,5,3,3,2,5,4,5,0
37234,2,3,5,5,3,4,5,5,5,0
37235,2,4,3,2,3,4,2,3,3,0
37236,3,2,4,2,5,3,1,2,4,0
37238,0,2,5,2,4,5,5,5,5,1
37243,1,4,2,2,3,3,3,3,2,0
37248,2,3,1,4,1,3,4,3,1,0
37249,1,5,5,4,2,4,4,4,5,0
37256,0,3,1,4,2,3,2,2,1,0
37262,1,3,5,2,2,4,4,3,5,0
37266,3,3,3,2,4,4,4,3,3,0
37269,1,3,5,3,3,4,3,4,5,0
37276,2,2,2,4,5,5,5,5,2,0
37279,0,2,3,3,4,4,3,5,3,1
37286,0,3,4,4,3,4,5,5,4,0
37290,1,3,1,4,2,4,4,5,1,0
37299,4,3,5,3,1,4,3,3,5,0
37300,0,3,4,4,3,5,1,2,4,0
37305,4,3,4,5,5,5,3,5,4,1
37307,3,3,1,1,4,4,1,3,1,0
37309,2,3,2,3,4,4,4,4,2,0
37314,4,4,2,4,2,4,1,4,2,0
37315,0,1,5,5,3,4,3,5,5,1
37328,3,4,2,1,3,3,2,3,2,0
37330,3,2,3,4,3,5,3,5,3,0
37338,4,1,4,1,2,5,4,3,4,1
37343,4,3,4,5,3,4,3,4,4,0
37363,2,3,5,1,3,3,2,4,5,0
37385,2,3,5,2,2,4,2,3,5,0
37391,3,3,2,4,2,3,4,4,2,0
37392,1,3,1,4,4,3,3,3,1,0
37399,5,2,1,4,2,2,1,5,1,0
37416,4,1,4,5,3,4,5,5,4,0
37423,4,5,4,2,1,4,4,1,4,1
37426,4,1,1,5,3,3,4,5,1,1
37431,0,3,2,4,2,4,5,5,2,0
37434,2,4,4,5,4,4,5,5,4,1
37439,4,3,5,3,4,5,3,5,5,0
37449,2,3,3,1,1,3,1,4,3,0
37457,1,3,1,2,5,3,4,4,1,0
37465,1,4,4,4,1,3,1,3,4,0
37469,3,4,4,2,2,3,2,4,4,0
37473,1,3,3,3,1,2,1,2,3,0
37481,1,2,4,3,2,4,4,5,4,0
37486,2,1,3,5,2,5,4,5,3,0
37489,2,3,4,1,2,3,3,4,4,0
37498,4,3,5,3,2,4,4,4,5,0
37502,1,4,5,3,5,3,3,3,5,0
37504,0,2,4,3,5,4,3,4,4,1
37514,2,4,1,3,1,3,4,4,1,0
37523,0,4,5,4,4,3,3,4,5,0
37529,3,3,5,2,5,4,2,3,5,0
37531,2,3,5,2,5,4,2,3,5,0
37536,2,2,1,5,3,4,4,4,1,0
37543,1,2,2,3,3,3,2,2,2,0
37549,0,4,4,3,2,5,3,5,4,1
37550,4,4,4,2,1,4,2,3,4,0
37554,2,4,3,3,1,4,4,4,3,0
37559,5,2,4,3,5,4,3,4,4,0
37560,3,2,3,4,5,5,3,5,3,0
37570,4,3,2,2,1,3,2,4,2,0
37575,0,3,2,3,2,4,1,4,2,0
37578,0,4,1,3,3,3,2,1,2,0
37584,5,2,3,1,4,5,3,2,3,0
37587,5,2,3,4,4,5,4,4,3,1
37589,1,3,2,4,5,4,2,4,2,0
37592,3,3,4,4,3,3,3,3,4,0
37593,3,5,1,5,2,2,4,4,1,0
37595,2,4,2,4,4,5,2,4,2,0
37599,3,3,5,2,4,3,3,3,5,0
37602,2,1,4,3,2,5,5,5,4,1
37603,5,1,4,2,5,5,3,4,4,1
37605,0,4,4,2,3,4,4,2,4,0
37612,3,3,2,3,1,3,2,4,2,0
37613,4,3,2,4,5,4,1,4,2,0
37617,0,4,1,5,4,3,4,4,1,1
37618,2,5,2,5,3,3,5,2,5,0
37630,5,3,1,2,3,5,4,3,1,1
37632,3,1,2,5,4,5,3,4,2,0
37633,0,3,2,2,1,4,1,5,2,1
37641,3,4,1,4,3,1,1,1,1,0
37642,0,4,3,3,2,3,1,4,3,0
37652,2,4,4,2,2,3,4,3,4,0
37654,2,4,5,3,4,4,4,2,5,0
37657,5,1,1,4,2,5,4,4,1,1
37660,2,4,2,4,4,4,3,4,2,0
37665,3,1,3,5,2,5,4,5,3,0
37666,1,4,5,2,4,4,2,4,5,0
37677,0,3,1,3,2,5,3,4,1,0
37682,4,1,4,4,4,5,5,5,4,1
37686,4,3,1,4,3,4,5,4,1,0
37688,3,4,2,5,4,3,2,1,2,0
37699,5,2,4,4,2,4,5,4,4,0
37704,3,3,3,3,2,4,4,3,3,0
37708,4,1,2,1,3,5,2,5,2,0
37711,3,3,3,3,4,4,1,4,3,0
37713,5,4,5,5,2,5,4,4,5,1
37717,2,3,4,1,5,3,2,4,4,0
37723,3,3,5,4,2,2,5,1,5,0
37725,5,1,1,3,4,4,5,5,1,1
37730,3,4,4,2,1,3,4,3,4,0
37734,2,3,3,2,3,4,1,3,3,0
37743,4,3,4,3,1,4,4,3,4,0
37744,3,4,3,2,5,4,3,4,3,0
37752,2,3,5,5,5,4,4,5,5,0
37757,2,1,4,5,5,4,3,4,4,0
37758,4,5,2,3,4,5,5,5,2,1
37760,5,3,1,5,5,4,4,5,1,0
37768,3,3,5,4,4,4,4,4,5,0
37770,3,3,5,3,3,5,4,4,5,0
37773,2,3,2,4,5,3,2,4,2,0
37781,3,4,1,3,5,3,2,4,1,0
37784,4,1,1,5,5,5,3,4,1,0
37789,1,2,2,5,3,4,5,4,2,0
37805,1,4,4,1,4,4,3,1,4,0
37806,4,3,3,2,2,1,3,4,3,0
37809,1,3,4,1,1,3,1,4,4,0
37816,1,3,4,5,3,1,5,3,4,0
37820,3,1,2,5,5,5,4,5,2,0
37822,1,4,1,4,3,4,5,5,1,0
37825,1,3,1,3,3,4,5,5,1,0
37834,1,4,3,4,4,4,4,4,3,0
37838,4,4,3,4,5,3,1,4,3,0
37844,0,3,1,3,1,2,1,4,1,0
37846,1,4,4,2,3,4,2,4,4,0
37847,2,4,4,1,2,3,2,4,4,0
37849,0,1,1,2,5,4,5,5,1,1
37852,4,3,2,3,4,3,4,4,2,1
37857,3,5,2,5,2,2,4,5,2,0
37862,2,3,3,2,2,2,3,2,5,1
37867,4,2,5,1,3,3,3,3,5,0
37874,3,4,3,3,3,4,1,4,3,0
37877,5,5,4,4,5,4,2,1,4,1
37885,4,3,3,2,5,3,4,3,3,0
37887,3,3,5,1,3,4,3,3,5,0
37894,2,4,1,4,2,4,1,4,1,0
37901,3,3,4,4,2,3,1,2,4,0
37907,3,3,1,3,5,4,4,3,1,0
37910,2,4,4,4,5,5,3,5,4,1
37912,2,1,4,3,5,4,3,4,4,0
37913,0,2,3,1,3,4,1,5,3,0
37915,4,4,4,2,1,2,1,5,4,1
37925,4,5,5,3,3,5,1,5,5,0
37927,1,2,1,3,2,3,2,3,1,0
37937,2,3,1,4,5,5,4,5,1,0
37943,0,3,3,3,5,5,2,3,2,0
37946,2,4,2,2,3,4,2,4,2,0
37948,5,2,4,5,4,3,5,4,4,1
37954,4,3,4,3,2,3,1,5,4,0
37957,2,3,3,4,3,3,1,4,3,0
37959,4,4,1,2,2,4,1,4,1,0
37960,2,1,2,3,5,5,4,5,2,0
37968,4,4,5,4,3,4,4,4,5,1
37972,1,3,3,3,3,4,3,3,3,0
37977,2,4,4,1,3,4,2,1,4,0
37982,2,2,5,5,4,4,4,4,5,1
37984,3,4,4,5,2,5,3,5,4,0
37988,2,1,5,4,4,5,3,4,5,0
37991,2,2,1,4,3,5,5,5,1,0
38011,4,3,1,4,5,4,3,3,1,0
38012,4,4,4,5,2,4,3,5,4,0
38014,2,2,1,2,2,2,2,3,1,0
38028,1,4,3,3,5,4,3,4,3,0
38029,3,3,2,5,2,2,1,2,2,0
38030,0,3,4,3,5,3,2,5,4,0
38038,0,3,1,2,1,2,1,5,1,0
38044,3,3,2,4,4,3,3,4,2,0
38051,4,3,2,3,2,4,2,4,2,0
38059,0,4,2,2,4,3,5,5,2,0
38068,4,5,2,3,4,3,5,4,2,0
38071,2,4,1,4,2,5,1,5,1,0
38073,3,1,3,3,4,2,4,1,3,0
38083,5,3,2,4,2,5,4,5,2,1
38090,4,1,5,3,4,5,3,5,5,0
38092,4,1,4,5,5,3,4,5,4,1
38099,0,1,2,4,3,4,3,4,2,1
38103,0,2,1,3,3,2,1,1,1,0
38104,2,2,4,1,5,4,4,1,4,0
38107,3,3,1,4,4,3,3,3,1,0
38110,0,1,3,4,3,5,5,4,3,1
38111,2,3,2,3,4,3,1,4,2,0
38114,2,4,4,4,3,4,1,3,4,0
38117,3,4,3,3,2,3,2,4,3,0
38119,5,3,5,3,5,4,5,5,5,1
38120,0,3,2,4,1,1,1,4,2,0
38133,1,3,1,3,4,3,4,3,1,0
38136,0,2,3,1,3,5,3,1,3,0
38137,0,3,3,3,5,5,3,5,3,1
38142,3,3,3,2,4,4,1,3,3,0
38143,0,2,2,5,2,5,5,5,2,1
38149,1,2,4,4,4,5,5,4,4,0
38158,3,3,5,5,5,2,2,3,5,0
38162,2,1,4,3,5,2,3,2,4,1
38163,2,3,1,1,3,4,3,3,1,0
38164,4,3,3,2,3,3,4,4,3,0
38165,2,3,4,4,2,4,5,4,4,1
38166,1,4,4,2,1,2,1,4,4,0
38167,1,3,5,2,5,4,4,3,5,0
38169,3,2,5,2,1,5,2,5,5,0
38176,2,4,2,1,3,4,1,2,1,0
38179,1,2,5,2,5,2,2,2,5,0
38183,3,3,3,3,4,3,4,3,3,0
38188,4,2,5,1,3,5,3,4,5,1
38192,1,4,1,1,1,4,3,4,1,0
38194,3,1,2,3,2,4,5,4,2,0
38195,0,4,2,4,5,4,4,4,2,0
38197,2,4,5,2,4,3,2,3,5,0
38198,3,4,3,4,2,5,3,1,3,0
38205,5,3,5,5,3,5,4,4,5,0
38206,5,2,3,2,2,4,4,4,3,0
38214,1,4,3,2,4,3,4,4,3,0
38215,0,1,2,1,1,3,1,4,2,0
38217,2,3,4,1,3,3,2,4,4,0
38223,3,4,2,3,1,3,1,1,2,0
38227,0,4,1,1,2,3,3,4,1,0
38238,0,5,2,1,2,3,1,5,2,0
38248,4,4,4,2,4,1,5,2,4,0
38249,0,2,3,5,2,5,5,4,3,1
38253,3,3,1,5,2,5,3,5,1,0
38264,4,3,4,3,2,3,3,4,4,0
38269,0,3,5,2,2,5,5,2,5,1
38273,3,2,1,4,4,5,4,5,1,0
38277,2,4,3,5,4,4,3,5,3,1
38279,1,2,3,5,5,4,3,4,3,0
38292,5,5,1,5,5,4,5,5,1,0
38304,4,4,2,1,4,4,4,4,2,0
38322,3,2,4,4,5,4,3,4,4,0
38325,2,4,4,1,3,3,4,3,4,0
38335,0,4,5,5,2,3,4,1,5,0
38338,2,4,2,5,5,5,4,4,2,0
38339,4,3,4,2,3,5,4,1,4,1
38340,4,2,1,3,3,1,4,1,1,0
38346,2,4,1,3,3,3,1,4,1,0
38349,3,4,1,2,5,3,1,3,1,0
38354,0,3,1,1,3,4,3,5,1,0
38355,1,3,4,1,3,3,1,4,4,0
38358,0,1,4,5,4,5,5,4,4,0
38366,2,3,2,3,3,4,2,3,2,0
38369,4,2,2,4,5,1,5,5,2,1
38380,1,4,1,4,2,5,4,4,1,1
38389,3,5,4,4,4,4,4,4,4,1
38392,0,3,5,5,5,5,4,5,5,1
38393,0,4,2,3,5,4,4,4,2,1
38394,3,2,2,4,5,4,5,4,2,0
38404,0,4,3,5,3,4,4,4,3,1
38405,1,2,3,3,2,2,3,3,3,0
38414,4,5,4,4,3,5,3,5,4,0
38420,4,1,2,4,2,4,4,4,2,0
38424,3,2,1,3,5,5,4,4,1,1
38429,3,4,1,1,4,3,4,3,1,0
38437,2,2,2,1,5,3,1,3,2,0
38448,2,3,4,4,1,1,1,2,4,0
38459,3,3,5,1,2,4,3,3,5,0
38466,4,5,4,3,2,4,3,4,4,0
38471,4,3,1,3,5,3,2,4,1,0
38473,3,5,5,3,1,3,5,3,5,0
38478,2,4,4,3,4,3,4,2,4,0
38480,0,2,3,3,2,5,1,3,3,0
38484,4,4,3,2,1,2,4,1,3,0
38490,0,2,5,1,3,4,5,2,5,0
38496,1,3,5,4,3,3,3,2,5,0
38498,0,4,5,2,4,4,4,3,5,0
38501,5,1,5,4,5,4,4,4,5,1
38505,4,2,4,2,5,4,3,2,4,0
38506,0,3,3,4,2,5,4,5,3,0
38511,2,5,2,4,5,4,3,5,2,0
38520,4,4,1,4,2,5,5,5,1,0
38531,5,2,2,3,5,5,4,5,2,1
38565,0,3,1,3,4,3,4,5,1,0
38568,3,5,3,3,2,4,3,4,3,0
38574,3,2,5,3,5,4,5,5,5,0
38575,5,1,2,3,4,5,4,5,2,1
38579,2,3,2,1,3,4,1,4,2,0
38584,0,3,3,5,3,4,3,5,3,0
38589,3,3,4,3,4,4,3,4,4,1
38593,1,4,2,1,3,4,1,4,2,0
38597,0,4,2,5,3,1,4,2,2,1
38619,3,3,1,4,1,4,1,4,1,0
38622,2,4,4,4,1,3,1,3,4,0
38626,0,2,4,1,1,3,1,2,4,0
38628,4,3,3,5,4,4,5,5,3,1
38635,2,2,2,4,5,5,4,5,2,0
38638,3,3,1,3,3,3,4,3,1,0
38641,3,3,5,3,5,4,5,5,5,0
38644,0,5,3,3,2,5,5,4,3,0
38648,0,2,3,4,5,4,4,5,3,1
38649,2,2,5,2,2,3,4,3,5,0
38653,2,3,3,2,4,3,2,4,3,0
38661,0,3,1,3,1,2,5,2,1,0
38665,4,3,1,1,2,5,4,1,1,0
38670,4,4,2,3,5,5,5,4,2,1
38682,4,3,4,3,5,3,4,3,4,0
38683,2,4,3,2,5,4,1,4,3,0
38687,4,1,5,5,2,4,5,4,5,1
38688,5,1,1,1,1,2,1,1,1,0
38694,2,3,3,5,5,4,5,4,3,0
38698,4,3,1,1,3,4,3,4,1,0
38713,2,3,5,1,4,3,1,4,5,0
38719,1,3,3,2,5,4,3,3,3,0
38720,2,3,4,3,3,4,4,4,4,0
38722,3,3,5,3,4,3,3,4,5,0
38727,0,4,1,1,1,4,2,3,1,0
38743,2,3,2,5,3,4,1,3,1,0
38748,2,2,3,3,5,1,3,2,3,0
38754,0,3,2,1,4,1,5,3,2,1
38758,0,4,2,5,5,4,5,5,2,1
38763,5,3,1,1,1,4,3,4,1,1
38775,5,1,4,3,3,5,3,5,4,1
38776,2,2,1,3,5,4,4,4,1,0
38797,2,3,4,1,3,4,4,3,4,0
38805,2,1,5,1,1,5,2,1,5,0
38806,1,4,1,3,5,5,3,5,3,0
38809,0,1,3,3,2,5,4,5,3,1
38811,2,2,3,3,4,3,4,3,3,0
38812,3,3,3,5,3,3,5,3,3,0
38822,5,2,2,3,2,5,5,5,2,0
38833,1,2,4,5,5,4,3,4,4,0
38834,2,2,2,1,3,2,3,3,2,0
38842,1,5,5,4,5,3,4,4,5,0
38844,3,3,1,1,4,4,3,4,1,0
38849,0,1,3,4,3,4,3,4,3,1
38859,2,1,1,5,3,5,3,4,1,0
38860,2,4,1,4,2,3,1,3,1,0
38861,2,3,1,4,3,3,4,3,1,0
38864,1,1,5,3,5,1,5,5,5,0
38870,3,5,3,3,5,5,4,4,4,0
38871,2,4,1,4,5,4,2,4,1,0
38876,4,5,2,5,3,4,3,5,2,0
38877,0,3,4,5,1,1,2,3,4,0
38880,4,2,3,4,2,5,5,4,3,0
38882,3,5,4,3,2,4,4,3,4,1
38886,0,2,5,3,1,4,1,2,5,1
38890,3,2,1,4,5,4,3,4,1,1
38891,3,1,5,2,5,2,5,3,5,0
38907,2,4,1,3,3,4,3,4,1,0
38916,2,3,3,3,1,4,3,3,3,0
38923,0,3,5,2,1,1,5,3,5,0
38928,4,1,4,3,3,5,4,4,4,1
38936,2,3,1,3,5,5,4,5,1,0
38937,5,1,3,5,2,4,3,4,3,0
38938,4,2,1,4,2,5,4,5,1,1
38963,2,4,2,3,4,4,4,4,2,0
38966,4,2,2,4,2,4,5,4,2,0
38973,0,4,2,3,2,4,4,4,2,1
38974,3,3,2,1,4,3,3,2,3,0
38976,0,4,2,1,5,4,4,3,2,0
38977,4,3,5,2,4,3,2,3,5,0
38981,0,5,4,2,4,2,3,4,4,0
38982,4,4,5,1,1,4,4,2,5,1
38983,0,2,3,4,2,5,3,5,3,0
38985,1,4,3,4,5,3,3,4,3,0
39005,4,1,2,4,5,4,3,4,2,1
39013,2,2,5,5,5,3,1,4,5,0
39015,4,2,2,4,4,5,4,4,2,1
39017,1,4,2,1,5,4,4,4,2,0
39024,3,3,2,2,2,3,2,4,2,0
39039,4,1,5,5,3,4,3,4,5,0
39057,0,3,4,1,3,1,2,1,4,0
39058,3,2,2,1,4,1,4,4,2,0
39066,3,3,1,3,5,4,5,5,1,1
39068,2,3,4,3,4,4,1,4,4,0
39072,3,3,2,1,3,4,4,4,2,0
39073,5,1,2,4,5,5,3,4,2,1
39075,4,3,3,4,2,4,4,3,3,0
39077,2,3,4,4,5,4,5,4,4,0
39078,0,4,4,5,3,5,5,4,4,1
39088,2,3,4,3,2,3,2,3,4,0
39089,5,5,2,5,2,3,4,4,2,1
39091,1,4,5,4,3,3,2,4,5,0
39097,1,3,5,4,5,4,3,4,5,0
39099,5,4,5,3,5,5,5,4,5,1
39107,3,3,1,3,3,5,4,5,1,0
39109,3,2,3,5,3,2,5,3,5,0
39113,0,3,4,3,5,4,5,2,4,0
39119,2,4,3,4,4,5,5,4,3,0
39124,2,4,2,3,3,4,3,3,2,0
39125,2,3,1,3,5,4,4,4,1,0
39136,0,1,3,1,3,4,1,5,3,0
39143,2,2,4,2,4,2,1,2,4,0
39144,1,3,1,5,3,3,5,3,5,0
39166,0,3,5,5,3,5,5,4,5,1
39170,5,3,4,2,2,3,1,1,1,0
39172,3,5,1,3,4,4,4,4,1,0
39173,4,3,1,4,4,3,2,3,1,0
39178,3,3,3,3,3,2,2,3,3,0
39181,0,3,5,5,3,4,4,5,5,1
39187,4,3,3,2,5,3,4,1,3,1
39190,1,3,5,3,5,3,2,2,5,0
39198,1,3,3,2,1,2,3,5,3,0
39203,5,3,3,5,2,4,5,4,3,0
39209,4,3,5,5,3,4,5,5,5,0
39210,3,1,4,5,5,5,5,4,4,0
39214,3,3,4,2,5,1,4,4,4,0
39226,5,1,5,2,2,5,5,3,5,0
39239,4,3,1,3,4,2,2,4,1,0
39246,4,3,3,2,5,5,5,1,3,1
39249,4,3,1,2,4,4,3,4,1,0
39250,2,4,3,3,4,4,5,5,3,0
39251,3,4,1,4,3,4,4,4,1,0
39253,5,3,5,4,4,4,4,5,5,0
39255,4,2,1,5,4,2,5,2,1,0
39257,1,3,1,4,4,4,5,5,1,0
39258,5,5,2,3,2,1,1,3,2,0
39266,0,2,3,1,3,4,3,3,3,0
39268,3,4,1,2,3,4,1,3,1,0
39282,2,2,4,4,2,5,5,4,4,0
39293,0,5,3,4,1,4,3,4,3,1
39294,4,5,5,5,2,3,3,4,5,0
39300,2,4,2,1,1,3,4,4,2,0
39309,3,5,1,3,5,4,3,2,1,0
39310,3,3,2,1,1,4,4,4,2,0
39316,3,4,4,5,5,5,5,4,4,0
39320,3,4,1,5,2,5,3,4,1,0
39321,0,4,2,3,1,3,2,5,2,0
39322,2,3,4,4,4,3,3,3,4,0
39326,4,2,3,3,2,4,5,5,3,1
39327,3,4,1,2,4,3,4,3,1,0
39329,3,3,3,4,5,5,3,4,3,0
39341,4,3,3,1,1,3,4,4,3,0
39343,4,4,2,4,4,3,1,3,2,0
39346,1,3,1,4,5,4,1,3,1,0
39347,0,3,4,5,5,1,4,5,4,0
39355,0,2,2,3,3,5,1,2,2,0
39357,1,2,2,3,2,5,4,5,2,0
39358,1,1,5,4,1,5,5,3,5,0
39362,1,4,3,2,5,4,4,4,3,0
39365,1,4,5,3,2,3,2,1,5,0
39366,3,3,3,2,3,3,1,1,1,0
39371,4,3,4,5,2,4,3,5,4,1
39377,4,3,2,1,1,2,3,4,2,1
39381,5,3,3,2,5,4,1,5,3,1
39383,1,3,2,3,5,4,5,4,2,0
39399,4,3,1,1,1,2,1,2,1,0
39403,5,2,1,5,2,5,5,4,1,1
39406,0,3,5,3,2,4,3,5,5,1
39407,3,4,1,5,4,4,4,5,1,0
39410,4,1,2,5,5,4,5,5,2,0
39415,0,5,5,3,5,4,4,5,5,0
39416,2,3,2,1,4,4,2,3,2,0
39421,4,4,4,1,2,4,1,3,4,0
39425,2,2,1,4,3,2,2,3,1,0
39438,2,3,2,3,3,3,4,4,2,0
39439,5,5,2,3,4,5,3,5,2,1
39444,1,1,3,4,1,1,4,2,3,0
39450,3,5,3,4,2,5,5,5,3,0
39454,3,5,5,4,3,5,4,4,5,0
39466,4,3,4,3,4,2,1,5,4,1
39468,2,3,2,5,4,5,5,4,2,0
39474,0,4,5,1,3,2,1,2,5,0
39476,5,3,2,4,5,3,3,3,2,0
39477,2,3,1,4,5,4,3,3,1,0
39478,1,4,1,3,3,3,4,4,1,0
39481,3,4,1,5,2,4,5,4,1,0
39499,1,4,3,4,4,4,2,3,3,0
39502,2,3,4,1,5,4,2,3,4,0
39510,1,3,2,3,4,3,4,4,2,0
39511,3,2,4,4,4,1,4,2,4,1
39517,3,3,3,4,4,3,2,4,3,0
39518,2,3,4,1,5,3,3,3,4,0
39523,2,1,1,2,4,2,1,1,1,0
39526,2,2,1,4,2,3,4,3,1,0
39527,3,1,4,5,2,5,3,4,4,0
39529,3,2,2,5,4,5,1,4,2,0
39536,3,5,4,3,3,5,5,4,4,0
39537,3,4,3,3,5,3,4,4,3,0
39542,3,3,3,2,1,2,2,2,3,0
39546,2,3,3,5,4,5,4,5,3,0
39554,4,5,1,3,5,4,4,4,1,1
39556,0,2,5,5,1,5,1,4,5,1
39560,2,1,0,3,4,5,5,5,5,1
39562,4,4,4,2,4,4,2,4,4,0
39564,3,3,1,3,3,2,4,3,1,0
39565,4,4,3,1,3,5,3,1,3,0
39566,2,4,5,4,2,4,2,4,5,0
39570,1,4,5,1,3,3,4,3,5,0
39590,3,1,4,2,2,2,2,5,4,0
39593,2,1,1,4,5,5,5,4,1,0
39596,4,3,4,3,2,4,4,5,4,0
39605,0,5,2,5,2,4,4,4,2,1
